鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,租賃年月日,租賃層次,總樓層數,建物型態,主要用途,建築完成年月,租賃總面積平方公尺,總額元,單價每平方公尺,租賃總面積平方公尺,緯度,經度
三重區,建物,新北市三重區捷運路19巷2弄1~30號,0,住,1030421,二層,4,公寓(5樓含以下無電梯),住家用,620319,86,13000,151,0,25.05622710 ,121.48486950 
三重區,建物,新北市三重區集賢路121~150號,0,住,1030407,一層,14,住宅大樓(11層含以上有電梯),商業用,1010613,143.85,35000,243,28.84,25.08928310 ,121.48986570 
三重區,建物,新北市三重區福和街1~30號,0,,1030416,七層,7,華廈(10層含以下有電梯),住家用,861029,140.07,34000,243,0,25.06182360 ,121.50283530 
三重區,房地(土地+建物),新北市三重區重新路五段511~540號,4.61,其他,1030407,六層,17,住宅大樓(11層含以上有電梯),住家用,990304,52.69,16000,304,0,25.04660300 ,121.47135900 
三重區,房地(土地+建物),新北市三重區重新路四段144巷1~30號,91,住,1030428,二層,5,公寓(5樓含以下無電梯),住家用,680122,79,16000,203,0,25.05847690 ,121.48904500 
三重區,房地(土地+建物),新北市三重區光復路一段68巷24弄1~30號,1949.29,工,1030501,一層,1,工廠,工業用,550630,642.55,200000,,0,25.04889300 ,121.47060600 
三重區,房地(土地+建物),新北市三重區重新路五段609巷1~30號,33.09,工,1030502,三層,10,廠辦,工商用,810118,634.56,75000,118,0,25.04566500 ,121.46814200 
三重區,建物,新北市三重區正義北路151~180號,0,商,1030502,一層,2,店面(店鋪),住商用,481001,62.04,88000,1418,0,25.06701300 ,121.49664040 
三重區,建物,新北市三重區中正南路211~240號,0,住,1030519,十五層,22,住宅大樓(11層含以上有電梯),住家用,1021206,80.57,20000,248,4.83,25.05569480 ,121.49380620 
三重區,房地(土地+建物),新北市三重區中興北街特121~150號,148.76,工,1030512,全,2,透天厝,見其他登記事項,760311,259.83,50000,192,0,25.05923990 ,121.46884100 
三重區,建物,新北市三重區重新路一段91~120號,0,,1030518,二十一層,27,住宅大樓(11層含以上有電梯),住家用,1011220,91.86,22000,239,0,25.06349930 ,121.50091530 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030517,十八層,27,住宅大樓(11層含以上有電梯),住家用,1011220,86.55,25000,289,0,25.06325450 ,121.50018710 
三重區,房地(土地+建物)+車位,新北市三重區光復路二段61~90號,0,工,1030521,六層,10,廠辦,見其他登記事項,881216,242.74,56000,231,0,25.05678340 ,121.47208920 
三重區,建物,新北市三重區正義北路331~360號,0,其他,1030403,一層,4,公寓(5樓含以下無電梯),商業用,660505,181,84000,464,0,25.07151840 ,121.49382620 
三重區,建物,新北市三重區龍門路91~120號,0,住,1030225,全,3,透天厝,商業用,561220,126,28000,222,0,25.07248250 ,121.49732850 
三重區,建物,新北市三重區三和路四段301~330號,0,住,1030510,一層,5,店面(店鋪),商業用,770728,113.22,100000,883,0,25.07774880 ,121.48458700 
三重區,建物,新北市三重區重新路一段91~120號,0,,1030530,十九層,27,住宅大樓(11層含以上有電梯),住家用,1011220,90.67,22000,243,0,25.06349930 ,121.50091530 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030523,六層,27,住宅大樓(11層含以上有電梯),住家用,1011220,96.27,25000,260,0,25.06325450 ,121.50018710 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030520,十層,27,住宅大樓(11層含以上有電梯),住家用,1011220,92.41,23000,249,0,25.06325450 ,121.50018710 
三重區,房地(土地+建物),新北市三重區中華路61~90號,23,住,1030411,一層,4,店面(店鋪),住家用,591005,82.08,50000,609,0,25.06220400 ,121.48351260 
三重區,房地(土地+建物),新北市三重區仁愛街141巷1~30號,53,住,1030410,見其他登記事項,5,公寓(5樓含以下無電梯),商業用,671129,156,28000,179,0,25.07523210 ,121.49549460 
三重區,房地(土地+建物),新北市三重區成功路50巷31~60號,30.79,住,1030604,一層,10,住宅大樓(11層含以上有電梯),商業用,900427,142.75,51000,357,0,25.04971680 ,121.48823830 
三重區,房地(土地+建物),新北市三重區重新路五段511~540號,4.61,住,1030522,八層,17,住宅大樓(11層含以上有電梯),住家用,990304,52.69,14000,266,0,25.04660300 ,121.47135900 
三重區,房地(土地+建物),新北市三重區光復路二段42巷31~60號,25.37,工,1030524,三層,5,住宅大樓(11層含以上有電梯),工業用,811113,114.23,13500,118,0,25.05474800 ,121.46989200 
三重區,房地(土地+建物),新北市三重區重新路四段1~30號,92.1,商,1030522,三層,12,辦公商業大樓,商業用,841223,891.18,242000,272,0,25.05847690 ,121.48904500 
三重區,建物,新北市三重區溪尾街1~30號,0,工,1030606,二層,8,廠辦,工業用,900219,1505.78,300000,199,384,25.07410090 ,121.49189100 
三重區,建物,新北市三重區溪尾街1~30號,0,工,1030512,八層,8,廠辦,工業用,900219,291.06,52800,181,0,25.07410090 ,121.49189100 
三重區,建物,新北市三重區環河北路三段91~120號,0,住,1030611,一層,6,華廈(10層含以下有電梯),商業用,1020712,180.28,44318,246,0,25.08701190 ,121.49547050 
三重區,房地(土地+建物),新北市三重區龍門路91~120號,54.47,住,1030603,全,2,透天厝,住家用,520920,93.92,28000,298,0,25.07248250 ,121.49732850 
三重區,建物,新北市三重區自強路五段31~60號,0,住,1030529,一層,5,店面(店鋪),商業用,820810,32.49,30000,923,0,25.08106590 ,121.49353530 
三重區,房地(土地+建物),新北市三重區重陽路四段151~180號,34.12,住,1030528,一層,7,華廈(10層含以下有電梯),商業用,741115,258.48,90909,352,0,25.07197370 ,121.49310040 
三重區,房地(土地+建物),新北市三重區正義北路121~150號,44.07,商,1030604,一層,14,店面(店鋪),商業用,851007,106.8,120000,1124,0,25.06619090 ,121.49650880 
三重區,建物,新北市三重區三和路二段91~120號,0,其他,1030604,一層,5,店面(店鋪),住家用,750317,93.8,120000,1279,0,25.06840840 ,121.49976080 
三重區,房地(土地+建物),新北市三重區成功路73巷1~30號,34.5,住,1030701,一層,4,公寓(5樓含以下無電梯),住家用,670223,97,20000,206,0,25.05033450 ,121.49044810 
三重區,房地(土地+建物),新北市三重區興德路91~120號,33.4,工,1030610,七層,16,廠辦,工業用,900628,182.1,39900,219,0,25.05336720 ,121.47323020 
三重區,建物,新北市三重區三和路四段301~330號,0,住,1030404,一層,5,店面(店鋪),商業用,770728,113.22,100000,883,0,25.07774880 ,121.48458700 
三重區,建物,新北市三重區中央南路31~60號,0,,1030624,五層,5,公寓(5樓含以下無電梯),住家用,580730,104.72,18000,172,0,25.06214190 ,121.50113600 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030624,二十二層,27,住宅大樓(11層含以上有電梯),住家用,1011220,66.47,26000,391,0,25.06325450 ,121.50018710 
三重區,建物,新北市三重區正義北路181~210號,0,,1030703,十二層,12,辦公商業大樓,商業用,801007,119.9,30000,250,0,25.06766040 ,121.49645350 
三重區,建物,新北市三重區中央南路31~60號,0,商,1030624,全,4,透天厝,住家用,580730,104.72,18000,172,0,25.06214190 ,121.50113600 
三重區,房地(土地+建物),新北市三重區五谷王北街20巷31~60號,21.75,住,1030628,二層,4,公寓(5樓含以下無電梯),住家用,640125,82.75,15000,181,0,25.04872960 ,121.47566410 
三重區,建物,新北市三重區重新路一段121~150號,0,住,1030724,八層,27,住宅大樓(11層含以上有電梯),住家用,1011220,126.32,25000,198,0,25.06325450 ,121.50018710 
三重區,建物,新北市三重區文化北路31~60號,0,住,1030707,全,4,透天厝,住家用,601201,55.69,50000,898,0,25.06404380 ,121.49949210 
三重區,房地(土地+建物)+車位,新北市三重區集勇街31~60號,16.73,住,1030428,二層,10,住宅大樓(11層含以上有電梯),住家用,970408,121.81,19000,156,30.44,25.08510130 ,121.48496840 
三重區,土地,大智段91~120地號,41.72,住,1030801,,,其他,,,0,11000,264,0,25.06763300 ,121.49262170 
三重區,建物,新北市三重區文化南路75巷31~60號,0,住,1030801,五層,5,套房(1房1廳1衛),住家用,850802,17,8000,471,0,25.06053620 ,121.49975750 
三重區,房地(土地+建物),新北市三重區光復路二段88巷22弄1~30號,2979.09,工,1030808,見其他登記事項,3,工廠,見其他登記事項,780616,366.03,76190,,0,25.05723700 ,121.47084600 
三重區,房地(土地+建物),新北市三重區重新路五段609巷1~30號,561,工,1030804,十層,10,廠辦,工商用,810521,1837.22,290000,158,0,25.04566500 ,121.46814200 
三重區,房地(土地+建物),新北市三重區大榮街1~30號,26.42,住,1030708,一層,4,公寓(5樓含以下無電梯),商業用,630723,66.41,22000,331,0,25.06307500 ,121.49791000 
三重區,建物,新北市三重區福德南路31~60號,0,商,1030801,一層,17,店面(店鋪),商業用,890827,262.03,80000,305,0,25.06258900 ,121.50266300 
三重區,建物,新北市三重區中正南路181~210號,0,住,1030715,一層,15,店面(店鋪),商業用,1010918,184.09,66000,359,21.95,25.05527090 ,121.49339300 
三重區,建物,新北市三重區仁化街151~180號,0,,1030804,一層,6,華廈(10層含以下有電梯),見其他登記事項,810107,152.12,25000,164,0,25.05716190 ,121.49451500 
三重區,房地(土地+建物),新北市三重區重新路五段481~510號,6.15,其他,1030727,十五層,17,住宅大樓(11層含以上有電梯),住家用,990304,72.16,17000,236,0,25.04709060 ,121.47311260 
三重區,建物,新北市三重區三和路四段1~30號,0,,1030803,十六層,17,辦公商業大樓,商業用,871031,60.72,25000,412,0,25.07416520 ,121.49152460 
三重區,房地(土地+建物),新北市三重區正義北路31~60號,26.93,商,1030701,一層,4,公寓(5樓含以下無電梯),商業用,590508,75.65,120000,1586,0,25.06360780 ,121.49765500 
三重區,建物,新北市三重區中正北路121~150號,0,住,1030601,四層,5,公寓(5樓含以下無電梯),住家用,690829,20,8000,400,0,25.06710910 ,121.48332670 
三重區,建物,新北市三重區中正南路211~240號,0,其他,1030810,十四層,22,住宅大樓(11層含以上有電梯),住家用,1021206,91.13,20500,225,4.83,25.05569480 ,121.49380620 
三重區,房地(土地+建物),新北市三重區光復路二段61~90號,29.17,工,1030820,七層,,廠辦,,,160.06,45000,281,0,25.05678340 ,121.47208920 
三重區,建物,新北市三重區進安街91~120號,0,住,1030807,七層,11,住宅大樓(11層含以上有電梯),住家用,990917,438.51,80000,182,0,25.08539680 ,121.49564780 
三重區,建物,新北市三重區三和路二段1~30號,0,商,1030818,一層,4,公寓(5樓含以下無電梯),商業用,470517,91.24,50000,548,0,25.06650910 ,121.50168960 
三重區,建物,新北市三重區集仁街31~60號,0,住,1030820,七層,14,住宅大樓(11層含以上有電梯),住家用,1021113,214.97,42000,195,30.4,25.08507990 ,121.48652640 
三重區,建物,新北市三重區正義北路1~30號,0,商,1030825,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,550305,242.78,100000,412,0,25.06252100 ,121.49795180 
三重區,房地(土地+建物)+車位,新北市三重區重新路三段31~60號,8.28,住,1030730,十四層,22,住宅大樓(11層含以上有電梯),住家用,990201,268.76,55000,205,29.8,25.06161800 ,121.49410000 
三重區,建物,新北市三重區重新路一段121~150號,0,住,1030901,六層,27,住宅大樓(11層含以上有電梯),住家用,1011220,98.52,24000,244,0,25.06325450 ,121.50018710 
三重區,房地(土地+建物),新北市三重區重新路三段91~120號,12.24,商,1030828,二層,12,辦公商業大樓,住商用,811204,90,20000,222,0,25.06014080 ,121.49132540 
三重區,房地(土地+建物),新北市三重區光復路一段61巷1~30號,4010.38,工,1031031,十層,15,工廠,見其他登記事項,1020812,953.35,383325,,0,25.04885000 ,121.47389600 
三重區,房地(土地+建物)+車位,新北市三重區重新路五段609巷1~30號,22.52,工,1031107,五層,10,辦公商業大樓,工商用,810521,193.56,38000,209,28.84,25.04566500 ,121.46814200 
三重區,房地(土地+建物),新北市三重區重新路一段121~150號,5.22,其他,1031107,二十四層,27,住宅大樓(11層含以上有電梯),住家用,1011220,98.52,29000,294,0,25.06325450 ,121.50018710 
三重區,建物,新北市三重區長榮路1~30號,0,住,1031030,三層,10,華廈(10層含以下有電梯),住家用,971024,58.84,15000,255,0,25.08197390 ,121.46369000 
三重區,建物,新北市三重區重新路一段121~150號,0,,1030927,八層,27,住宅大樓(11層含以上有電梯),住家用,1011220,95.08,32000,416,27.79,25.06325450 ,121.50018710 
三重區,建物,新北市三重區中正南路211~240號,13.1,住,1031113,三層,22,住宅大樓(11層含以上有電梯),住家用,1021206,167.19,23000,138,0,25.05569480 ,121.49380620 
