"mrt","區","X104年總進","X105年總進","房價中位數","緯度","經度","平均人口","15-64","age.ratio","工業區","商業區","住宅區"
"三重","三重區",1451725,1597865,382260.45,25.055791,121.484725,43424,32898,0.757599484156227,"1","0","1"
"三重國小","三重區",3977533,4125968,392982.15,25.06945,121.498291,54693,41073,0.750973616367725,"0","0","1"
"善導寺","中正區",7038409,7257756,777714.3,25.0441055,121.524231,8815,6044,0.685649461145774,"0","1","1"
"石牌","北投區",10316686,10370590,556007.1,25.114523,121.515559,39190,26946,0.687573360551161,"0","0","1"
"士林","士林區",10456837,10401476,675800.4,25.093535,121.526229,19670,13760,0.69954245043213,"0","1","1"
"市政府","信義區",20718933,21250212,855751.05,25.041146,121.565963,13914,9611,0.690743136409372,"1","1","1"
"雙連","大同區",7516649,7543821,619188.9,25.0579015,121.5206032,15468,10870,0.702741143004913,"0","1","1"
"松江南京","中山區",11065550,11630545,719687.1,25.0512257,121.5327387,17808,12576,0.706199460916442,"0","1","1"
"松山","松山區",6789405,7730149,679796.7,25.0498846,121.5775295,29558,21848,0.73915691183436,"1","1","1"
"松山機場","松山區",2052225,2144107,692595.75,25.063021,121.5517715,13794,9144,0.662896911700739,"0","0","1"
"台北101.世貿","信義區",10552116,11276099,778001.4,25.0330575,121.5631862,17718,12313,0.694942995823456,"0","1","1"
"台北車","中正區",56502237,57406129,639538.35,25.0477505,121.5170599,NA,NA,NA,NA,NA,NA
"台北橋","三重區",2972860,3242229,384067.2,25.063059,121.499916,24996,18933,0.757441190590495,"0","0","1"
"台北小巨蛋","松山區",6559804,7261830,703007.25,25.0514463,121.5507862,22073,14356,0.650387351062384,"0","0","1"
"台大醫院","中正區",7569162,7752364,783208.8,25.041471,121.518577,2711,1809,0.6672814459609,"0","1","0"
"台電大樓","中正區",6827333,6819029,830459.85,25.017557,121.531394,24874,16629,0.668529388116105,"0","0","1"
"頭前庄","新莊區",1744543,1795640,321337.5,25.039705,121.461746,23876,17969,0.752596749874351,"1","0","1"
"土城","土城區",2412169,2462604,302194.2,24.9732244,121.4441573,21451,16724,0.779637312945783,"0","1","1"
"萬芳社區","文山區",827258,842823,373617.75,25.00225,121.569992,7466,5519,0.739217787302438,"0","0","1"
"萬芳醫院","文山區",4735905,4775981,454591.5,24.9993886,121.5582008,23175,16984,0.732858683926645,"0","0","1"
"萬隆","文山區",3280867,3389078,528447.15,24.999282,121.540237,41231,28901,0.700953166306905,"0","0","1"
"文德","內湖區",1856773,1887975,544107.3,25.0785484,121.5855236,46308,34642,0.748078085859895,"0","0","1"
"西湖","內湖區",4821360,5011158,509859.9,25.082133,121.567213,17296,12941,0.748207678075856,"1","0","1"
"西門","中正區",25600566,26176631,526988.55,25.0421203,121.5076592,17634,12372,0.701599183395713,"0","1","0"
"先嗇宮","三重區",1342471,1416178,256726.8,25.046493,121.471916,7850,5993,0.76343949044586,"1","1","0"
"象山","信義區",3599580,3851110,950040.3,25.032939,121.5688409,17156,11754,0.685124737701096,"0","1","1"
"小碧潭","新店區",792074,821627,474157.2,24.972008,121.530487,25263,18267,0.723073269207933,"0","0","1"
"小南門","中正區",2493233,2824867,712869.3,25.035534,121.51088,18787,12479,0.664235907808591,"0","0","1"
"辛亥","文山區",1116100,1090304,417695.85,25.005475,121.557107,14392,10582,0.735269594219011,"0","0","1"
"新北投","北投區",2593562,2830397,402939.9,25.1369429,121.5026492,28881,21054,0.728991378414875,"0","0","1"
"新埔","板橋區",14419634,14528769,533829.45,25.0241811,121.4682288,97041,71502,0.736822580146536,"0","0","1"
"新店","新店區",4322178,4426834,472629.3,24.95894,121.538581,15025,10995,0.731780366056572,"0","0","1"
"新店市公所","新店區",3880643,3873068,367907.1,24.9673862,121.5410004,NA,NA,NA,NA,NA,NA
"新莊","新莊區",3687844,3785785,399366,25.036125,121.452468,50282,37071,0.737261843204328,"0","0","1"
"信義安和","大安區",5190734,5573175,887497.05,25.033116,121.552798,28482,19218,0.674741942279334,"0","1","1"
"行天宮","中山區",8640620,9198722,626660.1,25.059717,121.533184,32231,22964,0.712481772206882,"0","1","1"
"徐匯中學","蘆洲區",4089591,4169735,343751.1,25.079547,121.481262,61850,47382,0.76607922392886,"0","0","1"
"亞東醫院","板橋區",6653007,7057012,401177.7,24.998037,121.452514,49399,37056,0.750136642442155,"1","0","1"
"永安市場","中和區",8970055,9209997,435278.25,25.003881,121.51332,92076,66619,0.723521873235154,"0","0","1"
"永春","信義區",6705338,6781605,678034.5,25.0407066,121.5765839,43919,30782,0.700881167603998,"0","0","1"
"永寧","土城區",4895214,4066101,258033.6,24.9668026,121.4363174,4906,3790,0.772523440684876,"1","0","1"
"圓山","大同區",9691964,9959000,544671.6,25.071353,121.520118,25546,18158,0.710796210757066,"0","1","1"
"芝山","士林區",8310863,8214213,680559,25.1030598,121.5225139,32564,23021,0.706946321090775,"0","0","1"
"中山","中山區",13053621,13705168,612103.8,25.0529046,121.5203406,15850,11065,0.698107255520505,"0","1","0"
"中山國小","三重區",5439007,5753993,549766.8,25.062693,121.526418,20739,15102,0.728193259077101,"0","1","1"
"中山國中","中山區",5340245,5323635,661673.1,25.060848,121.544226,34458,24409,0.708369609379535,"0","1","1"
"中正紀念堂","中正區",9946213,10617993,799748.4,25.032729,121.51827,23590,15318,0.649342941924544,"0","0","1"
"忠孝敦化","大安區",13546131,13733923,882057,25.0416218,121.5516552,19525,12693,0.650089628681178,"0","0","1"
"忠孝復興","大安區",18198338,18357355,829517.7,25.041629,121.543767,17379,11595,0.667184533057138,"0","1","1"
"忠孝新生","大安區",11187934,12097708,806153.7,25.0424433,121.5332498,10008,6716,0.671063149480416,"0","0","1"
"忠義","北投區",916640,924093,290946.15,25.131058,121.473226,5962,4432,0.743374706474337,"0","0","1"
"竹圍","淡水區",3397716,3370109,308000.55,25.136558,121.46009,15628,12074,0.772587663168672,"0","0","1"
"台北車站",NA,NA,NA,NA,NA,NA,3798,2641,0.69536598209584,"0","1","0"
"新店區公所",NA,NA,NA,NA,NA,NA,15953,11468,0.718861656114837,"0","0","1"
