"mrt","區","流量","房價中位數","緯度","經度","平均人口","15-64","age.ratio","工業區","商業區","住宅區"
"板橋","板橋區",2482.755769,497656.5,25.0145999,121.4625299,54132,39255,0.725171802261139,"0","0","1"
"北門","大同區",264.1108974,523934.4,25.0490258,121.5099912,13419,9294,0.692600044712721,"0","1","1"
"北投","北投區",1424.440385,505520.4,25.1313054,121.4991801,14875,10956,0.73653781512605,"0","1","1"
"菜寮","三重區",939.8576923,387080.1,25.060274,121.492156,44250,33736,0.762395480225989,"0","0","1"
"大安","大安區",705.9923077,899715.3,25.0332255,121.5439082,15462,10145,0.65612469279524,"0","1","1"
"大安森林公園","大安區",293.5461538,944402.25,25.0334788,121.535352,15185,9778,0.643924925913731,"0","0","1"
"大湖公園","內湖區",323.0371795,512801.85,25.083009,121.605262,17417,13090,0.751564563357639,"0","0","1"
"大坪林","新店區",1301.460256,483129.9,24.9827862,121.5410329,35501,26772,0.754119602264725,"0","0","1"
"大橋頭","大同區",752.3839744,493166.85,25.0632553,121.5127182,24064,17058,0.708859707446808,"0","0","1"
"大直","中山區",478.7641026,689346.9,25.079476,121.546894,18723,12939,0.691075148213427,"0","0","1"
"丹鳳","新莊區",1043.671154,260084.55,25.0290509,121.422421,47069,37380,0.794153264356583,"1","0","1"
"淡水","淡水區",2597.983333,235210.8,25.167817,121.44556,23785,17720,0.745007357578306,"0","0","1"
"頂埔","土城區",644.1173077,229607.4,24.959332,121.4198624,12981,9929,0.764887142747092,"1","0","0"
"頂溪","永和區",3386.564744,451786.5,25.014218,121.5153677,62808,45425,0.723235893516749,"0","0","1"
"東湖","內湖區",815.2435897,472160.7,25.0671258,121.6117183,38457,28484,0.740671399225109,"0","0","1"
"東門","大安區",726.6980769,930454.8,25.0340535,121.5289343,25158,16287,0.647388504650608,"0","0","1"
"動物園","文山區",310.875641,442346.85,24.998259,121.57943,4107,2935,0.71463355247139,"0","0","1"
"府中","板橋區",2462.988462,416978.1,25.0083954,121.4589482,52536,38180,0.726739759403076,"0","0","1"
"輔大","新莊區",577.3076923,260762.7,25.0328241,121.4361096,16592,12596,0.759161041465767,"1","0","1"
"復興崗","北投區",342.2173077,341018.7,25.138198,121.491851,16968,12114,0.713932107496464,"0","0","1"
"港墘","內湖區",581.4153846,532735.5,25.080038,121.575102,25352,18485,0.729133796150205,"1","0","1"
"公館","中正區",920.5961538,868286.1,25.011943,121.537818,8393,5810,0.692243536280233,"0","1","0"
"古亭","中正區",1390.725,750651,25.0261342,121.522922,48812,33286,0.681922478079161,"0","1","1"
"關渡","北投區",659.3089744,376130.7,25.124923,121.465515,10787,7995,0.741169926763697,"1","0","1"
"國父紀念館","信義區",550.5608974,860204.4,25.039012,121.557739,14155,9349,0.660473330978453,"0","0","1"
"海山","土城區",2165.990385,325950.9,24.9854279,121.4486084,60138,47703,0.793225581163324,"1","0","1"
