mrt,區,流量,緯度,經度,平均人口,15-64,age.ratio,工業區,商業區,住宅區,公車種類數,上高速公路客運數,房價中位數,區中位數,房價中位數/區中位數,流量/人口,
南港,南港區,847.4692308,25.052056,121.606569,16421,11956,0.728092077,1,1,0,15,0,603626.1,546258.9,1.105018335,0.051608869,
南港軟體園區,南港區,109.7929487,25.0599419,121.6159291,4947,3629,0.733575905,1,1,1,5,0,642960.45,546258.9,1.177025125,0.022193844,
南港展覽館,南港區,2081.176282,25.0553846,121.6182655,9373,6873,0.733276432,0,1,1,84,24,500623.2,546258.9,0.916457746,0.222039505,
南京復興,中山區,854.0583333,25.0520954,121.5443516,18673,12757,0.683178921,0,1,1,51,9,714897.15,604358.7,1.182902058,0.045737607,
南京三民,松山區,785.2711538,25.051462,121.560447,62783,43148,0.687256104,0,0,1,46,8,696712.5,678014.7,1.027577278,0.012507704,
南勢角,中和區,2370.614103,24.9899178,121.5088501,68471,51166,0.747265266,0,0,1,31,4,394973.7,352991.1,1.118933877,0.034622163,
內湖,內湖區,748.8435897,25.064786,121.585319,11821,8937,0.756027409,1,1,1,65,0,575549.7,506856.9,1.13552701,0.063348582,
七張,新店區,1289.827564,24.9749794,121.5431015,32445,23748,0.731946371,0,0,1,75,21,425769.3,355426.5,1.19791096,0.039754278,
奇岩,北投區,749.3897436,25.126112,121.5010071,9012,6694,0.742787395,1,0,1,19,0,471817.5,407995.5,1.156428196,0.083154654,19
唭哩岸,北投區,703.4435897,25.120872,121.506252,23549,16469,0.699350291,0,0,1,15,0,491323.8,407995.5,1.204238282,0.029871485,15
三和國中,三重區,1372.447436,25.07542,121.488685,67625,50910,0.752828096,0,0,1,40,6,342596.1,361526.55,0.947637456,0.020294971,34
三民高中,蘆洲區,1375.540385,25.085457,121.473389,58670,45606,0.777330834,0,0,1,32,8,314001.6,313245.9,1.002412482,0.023445379,24
三重,三重區,441.5653846,25.055791,121.484725,43424,32898,0.757599484,1,0,1,5,0,382260.45,361526.55,1.057350975,0.010168694,5
三重國小,三重區,1280.859615,25.06945,121.498291,54693,41073,0.750973616,0,0,1,11,0,392982.15,361526.55,1.087007718,0.023419078,11
善導寺,中正區,412.2858974,25.0441055,121.524231,8815,6044,0.685649461,0,1,1,60,1,777714.3,705342,1.10260597,0.046770947,59
石牌,北投區,1787.582692,25.114523,121.515559,39190,26946,0.687573361,0,0,1,61,0,556007.1,407995.5,1.362777531,0.045613235,61
士林,士林區,1238.365385,25.093535,121.526229,19670,13760,0.69954245,0,1,1,155,0,675800.4,497135.1,1.359389832,0.062957061,155
市政府,信義區,1205.770513,25.041146,121.565963,13914,9611,0.690743136,1,1,1,98,0,855751.05,647955,1.320695187,0.086658798,98
雙連,大同區,632.15,25.0579015,121.5206032,15468,10870,0.702741143,0,1,1,70,2,619188.9,508596,1.217447444,0.040868244,68
松江南京,中山區,583.5653846,25.0512257,121.5327387,17808,12576,0.706199461,0,1,1,97,9,719687.1,604358.7,1.190827732,0.032769844,88
松山,松山區,1221.586538,25.0498846,121.5775295,29558,21848,0.739156912,1,1,1,81,10,679796.7,678014.7,1.002628262,0.041328457,71
松山機場,松山區,218.5621795,25.063021,121.5517715,13794,9144,0.662896912,0,0,1,30,13,692595.75,678014.7,1.021505507,0.015844728,17
台北101.世貿,信義區,503.4942308,25.0330575,121.5631862,17718,12313,0.694942996,0,1,1,81,6,778001.4,647955,1.200702827,0.028417103,75
台北車站,中正區,5649.064744,25.0477505,121.5170599,3798,2641,0.695365982,0,1,0,107,0,639538.35,705342,0.906706747,1.487378816,107
台北橋,三重區,783.4384615,25.063059,121.499916,24996,18933,0.757441191,0,0,1,107,2,384067.2,361526.55,1.062348533,0.031342553,105
台北小巨蛋,松山區,434.0128205,25.0514463,121.5507862,22073,14356,0.650387351,0,0,1,72,5,703007.25,678014.7,1.036861369,0.019662611,67
台大醫院,中正區,352.3448718,25.041471,121.518577,2711,1809,0.667281446,0,1,0,67,2,783208.8,705342,1.110395808,0.129968599,65
台電大樓,中正區,819.6641026,25.017557,121.531394,24874,16629,0.668529388,0,0,1,43,1,830459.85,705342,1.177386077,0.032952645,42
頭前庄,新莊區,423.2615385,25.039705,121.461746,23876,17969,0.75259675,1,0,1,68,4,321337.5,330561,0.972097434,0.017727489,64
土城,土城區,691.7929487,24.9732244,121.4441573,21451,16724,0.779637313,0,1,1,5,0,302194.2,276652.2,1.09232531,0.032249916,5
萬芳社區,文山區,282.4429487,25.00225,121.569992,7466,5519,0.739217787,0,0,1,19,0,373617.75,429763.95,0.869355724,0.037830558,19
萬芳醫院,文山區,1115.751282,24.9993886,121.5582008,23175,16984,0.732858684,0,0,1,35,0,454591.5,429763.95,1.057770202,0.048144608,35
萬隆,文山區,905.9544872,24.999282,121.540237,41231,28901,0.700953166,0,0,1,109,8,528447.15,429763.95,1.229621866,0.021972654,101
文德,內湖區,387.7634615,25.0785484,121.5855236,46308,34642,0.748078086,0,0,1,35,2,544107.3,506856.9,1.073492933,0.008373574,33
西湖,內湖區,397.9314103,25.082133,121.567213,17296,12941,0.748207678,1,0,1,68,5,509859.9,506856.9,1.005924749,0.023007135,63
西門,中正區,2204.082692,25.0421203,121.5076592,17634,12372,0.701599183,0,1,0,148,4,526988.55,705342,0.747139047,0.124990512,144
先嗇宮,三重區,197.2679487,25.046493,121.471916,7850,5993,0.76343949,1,1,0,50,0,256726.8,361526.55,0.7101188,0.025129675,50
象山,信義區,586.8891026,25.032939,121.5688409,17156,11754,0.685124738,0,1,1,86,0,950040.3,647955,1.466213394,0.034208971,86
小碧潭,新店區,181.2762821,24.972008,121.530487,25263,18267,0.723073269,0,0,1,17,12,474157.2,355426.5,1.334051344,0.007175564,5
小南門,中正區,255.5314103,25.035534,121.51088,18787,12479,0.664235908,0,0,1,30,0,712869.3,705342,1.010671844,0.013601502,30
辛亥,文山區,360.6096154,25.005475,121.557107,14392,10582,0.735269594,0,0,1,30,0,417695.85,429763.95,0.971919236,0.025056255,30
新北投,北投區,227.8160256,25.1369429,121.5026492,28881,21054,0.728991378,0,0,1,54,0,402939.9,407995.5,0.987608687,0.007888093,54
新埔,板橋區,3858.560897,25.0241811,121.4682288,97041,71502,0.73682258,0,0,1,135,14,533829.45,365880.9,1.459025191,0.039762172,121
新店,新店區,1084.939744,24.95894,121.538581,15025,10995,0.731780366,0,0,1,48,3,472629.3,355426.5,1.329752565,0.072208968,45
新店區公所,新店區,1082.596795,24.9673862,121.5410004,15953,11468,0.718861656,0,0,1,48,3,367907.1,355426.5,1.035114433,0.067861643,45
新莊,新莊區,1066.825,25.036125,121.452468,50282,37071,0.737261843,0,0,1,73,2,399366,330561,1.208146152,0.021216837,71
信義安和,大安區,595.8378205,25.033116,121.552798,28482,19218,0.674741942,0,1,1,50,0,887497.05,840015,1.056525241,0.020919803,50
行天宮,中山區,771.2685897,25.059717,121.533184,32231,22964,0.712481772,0,1,1,45,2,626660.1,604358.7,1.036900933,0.023929403,43
徐匯中學,蘆洲區,1235.426923,25.079547,121.481262,61850,47382,0.766079224,0,0,1,98,2,343751.1,313245.9,1.097384196,0.019974566,96
亞東醫院,板橋區,1970.785256,24.998037,121.452514,49399,37056,0.750136642,1,0,1,21,0,401177.7,365880.9,1.096470737,0.039895246,21
永安市場,中和區,2655.147436,25.003881,121.51332,92076,66619,0.723521873,0,0,1,13,0,435278.25,352991.1,1.233113951,0.028836477,13
永春,信義區,1154.242949,25.0407066,121.5765839,43919,30782,0.700881168,0,0,1,70,0,678034.5,647955,1.046422205,0.026281176,70
永寧,土城區,983.5070513,24.9668026,121.4363174,4906,3790,0.772523441,1,0,1,32,7,258033.6,276652.2,0.932700336,0.200470251,25
圓山,大同區,1489.153846,25.071353,121.520118,25546,18158,0.710796211,0,1,1,65,13,544671.6,508596,1.070931742,0.058293034,52
芝山,士林區,1538.221154,25.1030598,121.5225139,32564,23021,0.706946321,0,0,1,51,0,680559,497135.1,1.368961878,0.047236861,51
中山,中山區,691.0288462,25.0529046,121.5203406,15850,11065,0.698107256,0,1,0,83,4,612103.8,604358.7,1.012815403,0.043598034,79
中山國小,三重區,725.8307692,25.062693,121.526418,20739,15102,0.728193259,0,1,1,78,6,549766.8,361526.55,1.520681676,0.034998349,72
中山國中,中山區,838.2544872,25.060848,121.544226,34458,24409,0.708369609,0,1,1,61,13,661673.1,604358.7,1.094835071,0.024326847,48
中正紀念堂,中正區,821.350641,25.032729,121.51827,23590,15318,0.649342942,0,0,1,36,0,799748.4,705342,1.133844858,0.034817747,36
忠孝敦化,大安區,570.9378205,25.0416218,121.5516552,19525,12693,0.650089629,0,0,1,77,9,882057,840015,1.050049106,0.029241374,68
忠孝復興,大安區,808.7615385,25.041629,121.543767,17379,11595,0.667184533,0,1,1,70,12,829517.7,840015,0.987503437,0.046536713,58
忠孝新生,大安區,734.9198718,25.0424433,121.5332498,10008,6716,0.67106315,0,0,1,99,7,806153.7,840015,0.959689648,0.073433241,92
忠義,北投區,156.4942308,25.131058,121.473226,5962,4432,0.743374707,0,0,1,20,0,290946.15,407995.5,0.713111174,0.026248613,20
竹圍,淡水區,814.1198718,25.136558,121.46009,15628,12074,0.772587663,0,0,1,33,0,308000.55,194987.1,1.579594496,0.05209367,33
